bin,score_min,score_max,n,mean_abs_cos,median_abs_cos
0,-9.9999996441368e-10,0.010580294282077346,27560,0.48538154345672413,0.4763136837788151
1,0.010580294282077346,0.09170394143381763,27560,0.5015510434234638,0.49786863993047115
2,0.09170394143381763,0.27647161647194035,27560,0.5100225312548536,0.5095439211749857
3,0.27647161647194035,0.5274404737565401,27560,0.5186945737516903,0.5268298295786886
4,0.5274404737565401,0.7442251008543117,27559,0.5253952480763417,0.5326150271427899
5,0.7442251008543117,0.8761371867329898,27560,0.5195340999915277,0.5358103136560955
6,0.8761371867329898,0.9471753705673632,27560,0.5205089408061232,0.5335709937670641
7,0.9471753705673632,0.9825139191107551,27560,0.5347647678325244,0.5499291060013016
8,0.9825139191107551,0.9965738080715875,27560,0.5211069459909508,0.5339807290719254
9,0.9965738080715875,1.0000000009985268,27560,0.5190931972659452,0.5329035981152368
